name,address
Happy Cafe,Tsim Sha Tsui
Golden Dragon,Mong Kok
Harbour View,Central
Sunshine Restaurant,Causeway Bay
Ocean Delight,Kwun Tong
Dragon Palace,Sham Shui Po
Lucky Garden,Yau Ma Tei
City Diner,Tsuen Wan
Harbour Kitchen,Tseung Kwan O
Golden Harvest,Sha Tin
Moonlight Cafe,Jordan
Star Bistro,North Point
Green Garden,Tai Po
Royal Kitchen,Tuen Mun
Mountain View Cafe,Yuen Long
Silver Spoon,Chai Wan
East Coast Restaurant,Heng Fa Chuen
Skyline Dining,Tung Chung
Pearl Harbour Cafe,Ma On Shan
Victoria Restaurant,Kennedy Town
